user_address,asset,side,position_size,entry_price,mark_price,absolute_pnl,pnl_percent,realized_pnl,unrealized_pnl,leverage_ratio,is_negative_equity,was_liquidated,was_adl,trades_count,had_pre_existing_position
0x0000000020b888feabe8f1438e49c8a898292abc,BTC,SHORT,0.0,,108340.0,294.88888,,294.88888,0.0,,,False,True,1,True
0x00078e1c3fa91644a5d9b492dd775822c6b79767,BTC,SHORT,0.0,,108340.0,57.68481,,57.68481,0.0,,,False,True,1,True
0x000a62bfb3069784a12f12112941821d828ef00b,SOL,SHORT,0.0,,169.36,25.758495,,25.758495,0.0,,,False,True,1,True
0x001080fe5db64bf8878d7bca1333ccbf269732e0,BTC,SHORT,0.0,,108340.0,19.29228,,19.29228,0.0,,,False,True,1,True
0x0011b67bb41abc4c95b94ef937e1a90030641172,SOL,SHORT,0.0,,169.36,19.03,,19.03,0.0,,,False,True,1,True
0x00162e5bdc7f5fa5ea5f44d1928fcdd08dd2e098,BTC,SHORT,0.0,105895.62162162164,108340.0,0.60205,,0.60205,0.0,,,False,True,4,False
0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,SOL,SHORT,0.0,,169.36,64963.89729,,64963.89729,0.0,,,False,True,1,True
0x001b03345988f4a94c791fa2d3bcf34528333283,SOL,SHORT,0.0,,169.36,107.4044,,107.4044,0.0,,,False,True,1,True
0x001bf80d5d67f08d448ca432b2b6c3d3565c0c5d,SOL,LONG,0.0,,169.36,-25332.91201,,-25332.91201,0.0,,,True,False,1,True
0x00211a126f86c58c4cfd8309b43387e8f533d75d,BTC,LONG,0.0,,108340.0,-463.224084,,-463.224084,0.0,,,True,False,2,True
0x0024111ba2fbc5e8eccef07d32ef97465b1ada31,SOL,LONG,0.0,,169.36,-275.213076,,-275.213076,0.0,,,False,False,1,True
0x0027ec57ece4bf94d34860a1ad6fc0cdc9d318fa,BTC,LONG,0.037680000000000005,,108340.0,6.546,,6.546,0.0,,,False,False,6,True
0x0027ec57ece4bf94d34860a1ad6fc0cdc9d318fa,SOL,LONG,0.0,,169.36,-332.904017,,-332.904017,0.0,,,False,False,1,True
0x002ff4b40482ff60267b93b441324661ecd16d69,SOL,LONG,0.0,,169.36,-89.33425,,-89.33425,0.0,,,True,False,2,True
0x0037617891f6fb6ae48cd1bf9322b1abd8fc96c4,BTC,SHORT,0.0,,108340.0,105.792,,105.792,0.0,,,False,True,1,True
0x0037f6af483651f45cc0167582fd7a22a162599c,BTC,LONG,0.020880000000000003,,108340.0,-4.03899,,-4.03899,0.0,,,False,False,4,True
0x003e11c8fa367ab8b287cb3a1e5562dda6be84ac,SOL,LONG,0.0,,169.36,-2.71344,,-2.71344,0.0,,,True,False,1,True
0x003e2d32aadc730968f194bfb6e24376cec4341c,BTC,LONG,0.0,,108340.0,-19.8246,,-19.8246,0.0,,,False,False,1,True
0x0044f994ffe668d1808fce15935722632ef546ee,SOL,LONG,0.0,180.7,169.36,-34.241705,,-34.241705,0.0,,,True,False,2,False
0x004600dbe75f35115e0bd87cebf327faeaeb07ae,BTC,LONG,0.0,,108340.0,-20788.280000000002,,-20788.280000000002,0.0,,,True,False,2,True
